Travel Mode,Purpose,Public Mode,Vehicle,Month,Unit,Quantity,Day,Month,Year
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,10-Jul-20,Person,"26,516",10,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,10-Jul-20,Person,"85,532",10,Jul,2020
Rail,Provincial ,Public,Train,10-Jul-20,Person,"58,900",10,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,10-Jul-20,Person,"287,340",10,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,10-Jul-20,Person,"41,869",10,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,10-Jul-20,Person,"41,957",10,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,10-Jul-20,Person,"595,600",10,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,11-Jul-20,Person,"75,090",11,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,11-Jul-20,Person,"24,901",11,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),11-Jul-20,Unit,"932,411",11,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),11-Jul-20,Unit,"1,083,946",11,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),11-Jul-20,Unit,"1,689,607",11,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),11-Jul-20,Unit,"1,730,922",11,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,11-Jul-20,Person,"9,752",11,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,11-Jul-20,Person,"652,051",11,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),11-Jul-20,Person,"121,190",11,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),11-Jul-20,Person,"46,738",11,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,11-Jul-20,Person,"4,802",11,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,11-Jul-20,Person,"6,113",11,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,11-Jul-20,Person,"19,317",11,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,11-Jul-20,Person,"87,494",11,Jul,2020
Rail,Provincial ,Public,Train,11-Jul-20,Person,"49,804",11,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,11-Jul-20,Person,"176,565",11,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,11-Jul-20,Person,"25,857",11,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,11-Jul-20,Person,"26,214",11,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,11-Jul-20,Person,"380,600",11,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,12-Jul-20,Person,"77,134",12,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,12-Jul-20,Person,"24,977",12,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),12-Jul-20,Unit,"931,299",12,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),12-Jul-20,Unit,"1,035,464",12,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),12-Jul-20,Unit,"1,172,380",12,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),12-Jul-20,Unit,"1,190,142",12,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,12-Jul-20,Person,"9,675",12,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,12-Jul-20,Person,"615,944",12,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),12-Jul-20,Person,"103,775",12,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),12-Jul-20,Person,"42,261",12,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,12-Jul-20,Person, -   ,12,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,12-Jul-20,Person,"5,762",12,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,12-Jul-20,Person,"21,707",12,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,12-Jul-20,Person,"90,694",12,Jul,2020
Rail,Provincial ,Public,Train,12-Jul-20,Person,"50,962",12,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,12-Jul-20,Person,"132,999",12,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,12-Jul-20,Person,"21,022",12,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,12-Jul-20,Person,"22,199",12,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,12-Jul-20,Person,"311,998",12,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,13-Jul-20,Person,"66,767",13,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,13-Jul-20,Person,"26,703",13,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),13-Jul-20,Unit,"873,712",13,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),13-Jul-20,Unit,"1,023,993",13,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),13-Jul-20,Unit,"1,491,531",13,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),13-Jul-20,Unit,"1,538,417",13,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,13-Jul-20,Person,"12,278",13,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,13-Jul-20,Person,"806,174",13,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),13-Jul-20,Person,"135,528",13,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),13-Jul-20,Person,"58,774",13,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,13-Jul-20,Person,"14,241",13,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,13-Jul-20,Person,"16,617",13,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,13-Jul-20,Person,"24,523",13,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,13-Jul-20,Person,"83,759",13,Jul,2020
Rail,Provincial ,Public,Train,13-Jul-20,Person,"46,599",13,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,13-Jul-20,Person,"268,319",13,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,13-Jul-20,Person,"41,053",13,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,13-Jul-20,Person,"41,908",13,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,13-Jul-20,Person,"555,200",13,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,14-Jul-20,Person,"65,692",14,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,14-Jul-20,Person,"26,700",14,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),14-Jul-20,Unit,"842,540",14,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),14-Jul-20,Unit,"1,008,386",14,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),14-Jul-20,Unit,"1,549,645",14,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),14-Jul-20,Unit,"1,600,934",14,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,14-Jul-20,Person,"10,800",14,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,14-Jul-20,Person,"787,283",14,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),14-Jul-20,Person,"148,838",14,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),14-Jul-20,Person,"57,595",14,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,14-Jul-20,Person,"14,765",14,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,14-Jul-20,Person,"16,538",14,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,14-Jul-20,Person,"26,080",14,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,14-Jul-20,Person,"76,179",14,Jul,2020
Rail,Provincial ,Public,Train,14-Jul-20,Person,"45,222",14,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,14-Jul-20,Person,"272,866",14,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,14-Jul-20,Person,"40,611",14,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,14-Jul-20,Person,"39,111",14,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,14-Jul-20,Person,"551,900",14,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,15-Jul-20,Person,"64,895",15,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,15-Jul-20,Person,"25,783",15,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),15-Jul-20,Unit,"839,342",15,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),15-Jul-20,Unit,"1,001,391",15,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),15-Jul-20,Unit,"1,647,790",15,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),15-Jul-20,Unit,"1,699,481",15,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,15-Jul-20,Person,"11,420",15,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,15-Jul-20,Person,"784,053",15,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),15-Jul-20,Person,"146,375",15,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),15-Jul-20,Person,"57,300",15,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,15-Jul-20,Person,"15,101",15,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,15-Jul-20,Person,"16,901",15,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,15-Jul-20,Person,"27,823",15,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,15-Jul-20,Person,"76,877",15,Jul,2020
Rail,Provincial ,Public,Train,15-Jul-20,Person,"45,527",15,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,15-Jul-20,Person,"270,123",15,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,15-Jul-20,Person,"40,364",15,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,15-Jul-20,Person,"41,183",15,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,15-Jul-20,Person,"547,900",15,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,16-Jul-20,Person,"60,912",16,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,16-Jul-20,Person,"23,086",16,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),16-Jul-20,Unit,"837,713",16,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),16-Jul-20,Unit,"995,929",16,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),16-Jul-20,Unit,"1,458,696",16,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),16-Jul-20,Unit,"1,507,728",16,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,16-Jul-20,Person,"10,352",16,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,16-Jul-20,Person,"766,347",16,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),16-Jul-20,Person,"146,619",16,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),16-Jul-20,Person,"55,399",16,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,16-Jul-20,Person,"15,190",16,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,16-Jul-20,Person,"16,417",16,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,16-Jul-20,Person,"26,812",16,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,16-Jul-20,Person,"73,857",16,Jul,2020
Rail,Provincial ,Public,Train,16-Jul-20,Person,"45,186",16,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,16-Jul-20,Person,"271,974",16,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,16-Jul-20,Person,"40,592",16,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,16-Jul-20,Person,"40,871",16,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,16-Jul-20,Person,"550,700",16,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,17-Jul-20,Person,"67,689",17,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,17-Jul-20,Person,"30,323",17,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),17-Jul-20,Unit,"922,198",17,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),17-Jul-20,Unit,"1,085,764",17,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),17-Jul-20,Unit,"1,594,242",17,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),17-Jul-20,Unit,"1,644,913",17,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,17-Jul-20,Person,"11,917",17,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,17-Jul-20,Person,"805,659",17,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),17-Jul-20,Person,"151,694",17,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),17-Jul-20,Person,"57,131",17,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,17-Jul-20,Person,"14,622",17,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,17-Jul-20,Person,"15,842",17,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,17-Jul-20,Person,"25,629",17,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,17-Jul-20,Person,"81,746",17,Jul,2020
Rail,Provincial ,Public,Train,17-Jul-20,Person,"52,887",17,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,17-Jul-20,Person,"284,690",17,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,17-Jul-20,Person,"42,450",17,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,17-Jul-20,Person,"42,491",17,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,17-Jul-20,Person,"558,500",17,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,18-Jul-20,Person,"63,684",18,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,18-Jul-20,Person,"23,489",18,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),18-Jul-20,Unit,"925,075",18,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),18-Jul-20,Unit,"1,073,122",18,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),18-Jul-20,Unit,"1,371,645",18,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),18-Jul-20,Unit,"1,412,880",18,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,18-Jul-20,Person,"9,239",18,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,18-Jul-20,Person,"642,556",18,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),18-Jul-20,Person,"135,873",18,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),18-Jul-20,Person,"48,687",18,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,18-Jul-20,Person,"4,913",18,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,18-Jul-20,Person,"6,135",18,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,18-Jul-20,Person,"19,398",18,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,18-Jul-20,Person,"83,561",18,Jul,2020
Rail,Provincial ,Public,Train,18-Jul-20,Person,"44,676",18,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,18-Jul-20,Person,"171,688",18,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,18-Jul-20,Person,"26,463",18,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,18-Jul-20,Person,"25,618",18,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,18-Jul-20,Person,"362,600",18,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,19-Jul-20,Person,"70,214",19,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,19-Jul-20,Person,"21,994",19,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),19-Jul-20,Unit,"931,560",19,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),19-Jul-20,Unit,"1,037,097",19,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),19-Jul-20,Unit,"1,143,362",19,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),19-Jul-20,Unit,"1,169,707",19,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,19-Jul-20,Person,"9,194",19,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,19-Jul-20,Person,"604,898",19,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),19-Jul-20,Person,"114,063",19,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),19-Jul-20,Person,"41,321",19,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,19-Jul-20,Person, -   ,19,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,19-Jul-20,Person,"5,512",19,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,19-Jul-20,Person,"22,713",19,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,19-Jul-20,Person,"85,494",19,Jul,2020
Rail,Provincial ,Public,Train,19-Jul-20,Person,"52,781",19,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,19-Jul-20,Person,"134,995",19,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,19-Jul-20,Person,"21,314",19,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,19-Jul-20,Person,"23,411",19,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,19-Jul-20,Person,"294,600",19,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,20-Jul-20,Person,"65,635",20,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,20-Jul-20,Person,"20,661",20,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),20-Jul-20,Unit,"879,442",20,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),20-Jul-20,Unit,"1,034,501",20,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),20-Jul-20,Unit,"1,489,942",20,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),20-Jul-20,Unit,"1,536,295",20,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,20-Jul-20,Person,"11,177",20,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,20-Jul-20,Person,"800,336",20,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),20-Jul-20,Person,"146,418",20,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),20-Jul-20,Person,"50,023",20,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,20-Jul-20,Person,"14,450",20,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,20-Jul-20,Person,"16,485",20,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,20-Jul-20,Person,"24,552",20,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,20-Jul-20,Person,"74,593",20,Jul,2020
Rail,Provincial ,Public,Train,20-Jul-20,Person,"50,678",20,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,20-Jul-20,Person,"268,111",20,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,20-Jul-20,Person,"41,521",20,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,20-Jul-20,Person,"39,648",20,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,20-Jul-20,Person,"546,200",20,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,21-Jul-20,Person,"62,183",21,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,21-Jul-20,Person,"25,766",21,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),21-Jul-20,Unit,"843,913",21,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),21-Jul-20,Unit,"1,008,335",21,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),21-Jul-20,Unit,"1,479,605",21,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),21-Jul-20,Unit,"1,530,178",21,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,21-Jul-20,Person,"11,891",21,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,21-Jul-20,Person,"787,686",21,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),21-Jul-20,Person,"149,568",21,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),21-Jul-20,Person,"56,418",21,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,21-Jul-20,Person,"14,145",21,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,21-Jul-20,Person,"16,601",21,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,21-Jul-20,Person,"24,571",21,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,21-Jul-20,Person,"78,122",21,Jul,2020
Rail,Provincial ,Public,Train,21-Jul-20,Person,"45,919",21,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,21-Jul-20,Person,"275,009",21,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,21-Jul-20,Person,"41,071",21,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,21-Jul-20,Person,"38,152",21,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,21-Jul-20,Person,"558,300",21,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,22-Jul-20,Person,"61,784",22,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,22-Jul-20,Person,"24,198",22,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),22-Jul-20,Unit,"872,745",22,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),22-Jul-20,Unit,"1,045,258",22,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),22-Jul-20,Unit,"1,441,643",22,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),22-Jul-20,Unit,"1,493,758",22,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,22-Jul-20,Person,"12,713",22,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,22-Jul-20,Person,"789,643",22,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),22-Jul-20,Person,"141,770",22,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),22-Jul-20,Person,"57,815",22,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,22-Jul-20,Person,"14,835",22,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,22-Jul-20,Person,"16,358",22,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,22-Jul-20,Person,"25,141",22,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,22-Jul-20,Person,"79,104",22,Jul,2020
Rail,Provincial ,Public,Train,22-Jul-20,Person,"48,072",22,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,22-Jul-20,Person,"278,795",22,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,22-Jul-20,Person,"41,053",22,Jul,2020
Rail,Bangkok ,Public,Airport Rail Link,22-Jul-20,Person,"40,736",22,Jul,2020
Rail,Bangkok ,Public,BTS Skytrain,22-Jul-20,Person,"565,600",22,Jul,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,23-Jul-20,Person,"64,762",23,Jul,2020
Road ,Provincial ,Public,รถหมวด 3,23-Jul-20,Person,"24,584",23,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),23-Jul-20,Unit,"899,901",23,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),23-Jul-20,Unit,"1,075,714",23,Jul,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),23-Jul-20,Unit,"1,601,517",23,Jul,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),23-Jul-20,Unit,"1,658,471",23,Jul,2020
Road ,Bangkok ,Public,รถหมวด 4,23-Jul-20,Person,"11,073",23,Jul,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,23-Jul-20,Person,"789,396",23,Jul,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),23-Jul-20,Person,"153,163",23,Jul,2020
Road ,Bangkok ,Public,รถเอกชนเส้นปฏิรูป (หมวด 1),23-Jul-20,Person,"56,356",23,Jul,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,23-Jul-20,Person,"14,403",23,Jul,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,23-Jul-20,Person,"16,681",23,Jul,2020
Waterway,Bangkok ,Public,เรือข้ามฟากเจ้าพระยา,23-Jul-20,Person,"25,467",23,Jul,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,23-Jul-20,Person,"83,022",23,Jul,2020
Rail,Provincial ,Public,Train,23-Jul-20,Person,"49,945",23,Jul,2020
Rail,Bangkok ,Public,Blue Line MRT,23-Jul-20,Person,"280,210",23,Jul,2020
Rail,Bangkok ,Public,Purple Line MRT,23-Jul-20,Person,"40,724",23,Jul,2020
