Travel Mode,Purpose,Public Mode,Vehicle,Month,Unit,Quantity,Day,Month,Year
Rail,Bangkok ,Public,Blue Line MRT,4-Jan-20,Person,"274,151",4,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,4-Jan-20,Person,"30,550",4,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,4-Jan-20,Person,"53,304",4,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,4-Jan-20,Person,"574,400",4,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,5-Jan-20,Person,"234,611",5,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),5-Jan-20,Unit,"1,043,024",5,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),5-Jan-20,Unit,"1,156,302",5,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),5-Jan-20,Unit,"1,499,459",5,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),5-Jan-20,Unit,"1,531,460",5,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,5-Jan-20,Person,"803,427",5,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),5-Jan-20,Person,"527,096",5,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,5-Jan-20,Person,"17,066",5,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,5-Jan-20,Person,"20,030",5,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,5-Jan-20,Person,"217,080",5,Jan,2020
Rail,Provincial ,Public,Train,5-Jan-20,Person,"98,259",5,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,5-Jan-20,Person,"237,162",5,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,5-Jan-20,Person,"26,012",5,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,5-Jan-20,Person,"50,992",5,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,5-Jan-20,Person,"503,000",5,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,6-Jan-20,Person,"153,605",6,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),6-Jan-20,Unit,"945,256",6,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),6-Jan-20,Unit,"1,107,287",6,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),6-Jan-20,Unit,"1,834,671",6,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),6-Jan-20,Unit,"1,902,146",6,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,6-Jan-20,Person,"1,053,814",6,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),6-Jan-20,Person,"538,820",6,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,6-Jan-20,Person,"30,918",6,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,6-Jan-20,Person,"31,246",6,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,6-Jan-20,Person,"219,621",6,Jan,2020
Rail,Provincial ,Public,Train,6-Jan-20,Person,"86,297",6,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,6-Jan-20,Person,"408,509",6,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,6-Jan-20,Person,"51,677",6,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,6-Jan-20,Person,"78,388",6,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,6-Jan-20,Person,"855,100",6,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,7-Jan-20,Person,"142,318",7,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (10 จุดสำรวจ),7-Jan-20,Unit,"883,892",7,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (10 จุดสำรวจ),7-Jan-20,Unit,"1,059,505",7,Jan,2020
Road ,Provincial ,Private,รถยนต์เฉพาะ 4 ล้อ (ทางด่วน),7-Jan-20,Unit,"1,863,899",7,Jan,2020
Road ,Provincial ,Private,รถยนต์ทุกประเภท (ทางด่วน),7-Jan-20,Unit,"1,936,319",7,Jan,2020
Road ,Bangkok ,Public,รถเมล์ ขสมก.,7-Jan-20,Person,"1,047,865",7,Jan,2020
Road ,Bangkok ,Public,รถร่วม (หมวด 1),7-Jan-20,Person,"540,060",7,Jan,2020
Waterway,Bangkok ,Public,เรือด่วนเจ้าพระยา,7-Jan-20,Person,"31,588",7,Jan,2020
Waterway,Bangkok ,Public,เรือคลองแสนแสบ,7-Jan-20,Person,"31,234",7,Jan,2020
Waterway,Bangkok ,Public,เรือภูมิภาค,7-Jan-20,Person,"212,305",7,Jan,2020
Rail,Provincial ,Public,Train,7-Jan-20,Person,"78,430",7,Jan,2020
Rail,Bangkok ,Public,Blue Line MRT,7-Jan-20,Person,"418,431",7,Jan,2020
Rail,Bangkok ,Public,Purple Line MRT,7-Jan-20,Person,"51,663",7,Jan,2020
Rail,Bangkok ,Public,Airport Rail Link,7-Jan-20,Person,"78,991",7,Jan,2020
Rail,Bangkok ,Public,BTS Skytrain,7-Jan-20,Person,"869,400",7,Jan,2020
Road ,Provincial ,Public,รถ ขบส. และ รถร่วม,8-Jan-20,Person,"138,700",8,Jan,2020
