Type,Station,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
MRT,Thailand Cultural Centre,391064,502149,740593,358972,213861,270477,169034,133817,206761,288729,399322,429181," 4,103,960 "
MRT,Phra Ram 9,641059,789176,1108548,575212,371416,469746,285668,196671,394489,527767,682229,813632," 6,855,613 "
MRT,Phetchaburi,561929,773891,1222280,568351,359919,467368,307706,248070,357790,482035,679247,762969," 6,791,555 "
MRT,Sukhumvit,857596,1086567,1529324,795862,507836,646074,417833,338330,534041,740471,1007536,1166259," 9,627,729 "
MRT,Queen Sirikit National Convention Centre,243762,304732,430241,224896,135813,170629,121828,102648,143357,192495,266160,279165," 2,615,726 "
MRT,Khlong Toei,65975,81674,113635,60203,40909,53528,39304,31295,45987,64704,82234,85510," 764,958 "
MRT,Lumphini,250040,321761,474991,235588,139667,174593,118458,96123,134085,186372,278284,292039," 2,702,001 "
MRT,Si Lom,489055,609350,863754,443748,278793,363084,245819,210480,288995,392044,546051,602702," 5,333,875 "
MRT,Sam Yan,298491,410521,614998,292316,173167,247586,134182,107681,179042,267540,378336,438468," 3,542,328 "
MRT,Hua Lamphong,170694,230500,312815,170338,101785,127172,83040,69594,97390,144139,196204,230433," 1,934,104 "
MRT,Wat Mangkon,247244,446435,395148,198484,115765,143992,91373,83649,131003,218815,257759,343048," 2,672,715 "
MRT,Sam Yot,155021,209372,276065,146872,92746,113874,70353,59306,98864,140642,181509,214268," 1,758,892 "
MRT,Sanam Chai,74003,115975,159359,72382,35845,47514,29197,25519,40279,62436,92605,122748," 877,862 "
MRT,Itsaraphap,129172,172848,225823,124172,84772,106705,73124,60404,85642,116765,151498,171628," 1,502,553 "
MRT,Tha Phra,139970,174675,235179,133341,95758,118707,83006,67452,97591,131312,167796,185065," 1,629,852 "
MRT,Bang Phai,41965,56693,73929,41944,32336,38724,28376,23612,31701,43027,52594,58864," 523,765 "
MRT,Bang Wa,209348,278491,383505,204364,130930,169768,111335,87641,138914,201953,266131,299544," 2,481,924 "
MRT,Phetkasem 48,61283,74068,97810,57991,43481,52411,38391,31680,45651,60705,76251,84631," 724,353 "
MRT,Phasi Charoen,141170,186468,229123,137567,90048,116179,69851,44722,108454,157939,192089,219850," 1,693,460 "
MRT,Bang Khae,109775,136571,158388,97573,74993,92205,65768,55285,80064,106988,132229,145012," 1,254,851 "
MRT,Lak Song,327392,435794,576287,332226,214150,275876,185444,150162,234735,335125,435476,487017," 3,989,684 "
MRT,Charan 13,65313,82988,112572,64842,48467,59294,42175,36384,49845,64578,81986,90033," 798,477 "
MRT,Fai Chai ,62573,77047,102910,59545,43296,53023,38414,33202,45152,59423,77310,84164," 736,059 "
MRT,Bang Khun Non,86309,113891,155678,86063,59948,77393,55779,47215,65915,90783,117666,130641," 1,087,281 "
MRT,Bang Yi Khan,111004,150371,211714,112703,76075,97719,65616,53133,82025,114089,153030,173815," 1,401,294 "
MRT,Sirindhorn,66380,90363,127070,65611,46645,57923,43687,36598,50793,66054,89196,99837," 840,157 "
MRT,Bang Phlat,38843,49483,66735,38848,27802,35323,26221,22237,30839,40138,51806,57215," 485,490 "
MRT,Bang O,70893,88718,125187,69558,47770,59923,44746,38478,51575,68628,91865,104397," 861,738 "
MRT,Bang Pho,76707,104175,141972,74401,50050,63283,42190,34284,52908,71225,94982,108426," 914,603 "
